,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,33.56496,130.41618,11.17831707,,,,,0,2.962,2.798,2.415,2.472,1.196,1.489,1.968,1.093,3.066,2.551,1.474,1.407,1.8,1.312,1.832,3.102,2.316,1.605,1.332,1.47,2.242,1.278,1.675,2.532,2.179,2.45,2.378,1.434,2.04,2.707,2.027,2.879,2.233,2.624,2.293,2.247,1.745,1.973,2.745,2.184,1.518,3.225,2.325,1.833,1.957,1.187,1.498,2.382,2.597,1.164,1.524,1.202,1.151,2.015,1.36,1.934,1.599,2.535,2.445,2.196,1.671,2.368,1.52,1.686,2.143,1.839,2.205,1.598,2.107,2.426,1.883,2.518,1.531,1.509,1.242,2.473,1.324,1.471,2.292,2.564,1.753,1.648,2.065,2.008,2.215,1.907,1.633,1.972,1.537,1.505,2.695,1.307,1.964,1.947,3.031,2.425,2.241,2.667,1.49,2.718
1,33.54513268,130.4173464,27.43100739,5,0,104,5,0,0,0.215,0.666,1.824,3.052,3.346,3.825,1.942,0.135,1.903,3.33,1.676,1.082,1.755,1.13,0.172,0.794,2.35,2.181,2.699,0.831,3.134,3.532,0.782,1.532,1.803,1.73,1.616,1.397,0.722,0.934,0.195,1.586,0.639,1.645,1.6,1.272,1.326,2.098,1.039,2.263,1.032,1.677,1.085,1.096,2.244,1.464,1.734,1.479,3.02,3.38,1.759,1.896,1.733,2.029,1.596,1.352,0.743,1.798,2.141,1.78,1.397,1.441,1.795,1.05,1.03,0.893,3.454,0.978,1.779,1.236,1.87,1.64,2.255,2.091,1.826,2.069,2.32,1.645,1.917,3.609,3.504,1.421,1.36,1.755,1.259,3.489,1.325,2.386,3.362,0.711,2.156,3.82,1.304,0.069,0.599,1.78,2.019,3.347,0.242
2,33.5457435,130.4189275,22.43844795,15,29,80,5,0,0,0,0.502,1.661,2.889,3.182,3.661,1.778,0.352,1.74,3.167,1.513,0.918,1.592,0.966,0.388,0.631,2.187,2.018,2.536,0.667,2.971,3.368,0.619,1.368,1.639,1.567,1.452,1.234,0.559,0.771,0.076,1.422,0.476,1.482,1.436,1.109,1.162,1.934,0.875,2.1,0.869,1.514,0.922,0.933,2.081,1.301,1.571,1.341,2.857,3.217,1.596,1.733,1.57,1.866,1.433,1.189,0.58,1.634,1.978,1.616,1.233,1.278,1.632,0.886,0.867,0.729,3.29,0.814,1.616,1.072,1.707,1.477,2.091,1.928,1.662,1.906,2.157,1.481,1.753,3.446,3.341,1.258,1.197,1.592,1.096,3.326,1.161,2.223,3.198,0.547,1.992,3.657,1.141,0.284,0.436,1.617,1.856,3.183,0.078
3,33.54861511,130.4167292,25.86719894,9,65,97,5,0,0,0,0,1.278,2.506,2.799,3.278,1.395,0.77,1.357,2.784,1.13,0.535,1.208,0.583,0.806,0.29,1.803,1.635,2.153,0.284,2.588,2.985,0.115,0.985,1.256,1.184,1.069,0.85,0.411,0.388,0.583,1.039,0.328,1.099,1.053,0.726,0.779,1.551,0.936,1.717,0.929,1.131,0.539,0.55,1.698,0.918,1.188,0.958,2.474,2.833,1.213,1.349,1.187,1.483,1.049,0.805,0.239,1.251,1.594,1.233,0.85,0.895,1.249,0.503,0.362,0.346,2.907,0.431,1.232,0.689,1.324,1.094,0.645,1.545,1.279,1.523,1.773,1.098,1.37,3.063,2.958,0.875,0.814,1.208,0.713,2.943,0.778,1.84,2.815,0.399,1.609,3.274,0.757,0.735,0.129,1.234,1.473,2.8,0.422
4,33.54744299,130.4067574,24.64764404,14,15,59,5,0,0,0,0,0,1.493,1.786,0.985,1.451,1.928,0.2,1.505,1.186,1.007,1.265,0.695,1.965,1.178,1.86,1.691,2.209,1.105,1.575,1.519,1.394,0.63,0.589,0.094,1.126,0.571,1.569,0.89,1.741,0.325,1.486,0.607,0.311,0.782,0.759,0.394,2.094,1.773,2.088,0.639,0.965,0.82,1.754,0.974,0.695,1.46,2.53,1.82,1.269,1.406,0.599,1.539,1.106,0.862,1.397,0.759,0.438,1.29,0.926,0.951,1.305,1.005,1.458,1.067,1.478,0.969,0.74,0.588,0.167,1.15,1.764,1.601,0.611,1.579,1.83,0.192,0.878,1.428,1.323,0.931,0.561,0.64,0.614,1.159,0.611,1.896,1.802,1.557,1.666,0.98,0.814,1.893,1.287,0.666,0.981,1.521,1.58
5,33.55605378,130.4092206,16.24143028,10,52,87,5,0,0,0,0,0,0,0.293,0.795,1.196,3.169,1.536,0.201,1.51,1.903,1.415,1.935,3.205,2.419,1.708,1.435,1.573,2.346,0.082,0.479,2.635,2.282,2.553,1.442,1.537,2.143,2.81,2.13,2.982,2.336,2.727,2.396,2.35,1.849,2.076,1.2,2.287,1.621,3.329,2.428,1.936,2.061,1.29,1.601,2.485,2.7,0.273,0.328,1.306,1.254,0.842,0.469,0.761,1.702,2.638,2.548,1.023,1.774,2.472,1.623,1.789,2.246,1.942,2.308,0.402,2.21,2.53,1.986,1.503,1.634,1.612,1.345,2.576,1.427,1.574,1.54,2.667,0.58,0.475,2.168,2.111,1.042,2.01,0.46,2.075,1.64,0.309,2.798,1.41,0.791,2.05,3.134,2.528,1.068,2.77,0.185,2.821
6,33.55422827,130.4094403,20.07995605,14,49,71,5,0,0,0,0,0,0,0,0.584,1.489,3.462,1.607,0.232,1.804,2.196,1.708,2.229,3.499,2.712,2.001,1.728,1.866,2.639,0.313,0.206,2.928,2.575,2.847,1.512,1.83,2.437,3.103,2.424,3.275,2.63,3.02,2.689,2.644,2.142,2.369,1.27,2.581,1.915,3.622,2.721,2.229,2.354,1.583,1.894,2.778,2.994,0.505,0.126,1.599,1.547,0.669,0.7,0.492,1.996,2.931,2.842,1.093,2.067,2.765,1.917,2.083,2.539,2.235,2.601,0.246,2.503,2.823,2.28,1.574,1.928,1.906,1.639,2.869,1.72,1.867,1.611,2.961,0.311,0.206,2.461,2.404,0.869,2.303,0.53,2.368,1.934,0.108,3.091,1.703,0.588,2.344,3.427,2.821,0.895,3.063,0.216,3.114
7,33.55166875,130.4077234,22.94584656,9,64,94,5,0,0,0,0,0,0,0,0,1.952,4.577,0.534,0.838,2.267,2.659,2.171,3.344,4.614,3.827,2.464,2.192,2.329,3.754,0.907,0.851,4.043,3.279,2.846,1.041,2.294,0.452,4.218,3.539,4.391,2.935,4.135,3.058,2.949,2.605,0.768,0.405,4.743,2.378,4.737,3.011,2.692,3.469,2.046,2.357,3.031,3.957,1.098,0.885,2.062,2.01,0.18,1.294,0.941,2.459,4.047,3.21,0.252,2.53,3.378,2.38,2.546,3.654,2.699,3.717,0.811,3.618,3.113,3.237,0.567,2.391,2.369,2.102,2.869,2.183,2.331,1.139,3.251,0.76,0.656,0.487,3.21,0.381,3.263,0.491,3.26,2.397,0.867,4.207,2.166,0.004,0.683,4.542,3.936,0.406,3.353,0.854,4.23
8,33.55594777,130.415099,12.20241261,7,24,59,5,0,0,0,0,0,0,0,0,0,2.045,1.531,1.461,0.387,0.78,0.292,0.812,2.082,1.296,0.584,0.239,0.83,1.222,1.265,1.663,1.512,1.159,1.43,1.358,0.414,1.02,1.686,1.007,1.859,1.213,1.604,1.273,1.227,0.725,0.953,1.725,1.092,0.498,1.098,1.305,0.812,0.937,0.375,0.477,1.361,1.577,1.151,1.511,0.182,0.131,2.002,0.74,1.219,0.579,1.515,1.425,2.183,0.651,1.348,0.5,0.666,1.123,0.819,1.185,1.585,1.086,1.406,0.863,1.498,0.511,0.489,0.15,1.453,0.304,0.378,1.272,1.544,1.74,1.635,1.044,0.987,1.378,0.887,1.62,0.952,0.445,1.493,1.675,0.214,1.951,0.927,2.011,1.405,1.404,1.647,1.477,1.698
9,33.54431405,130.4181956,24.68114662,8,61,91,5,0,0,0,0,0,0,0,0,0,0,2.007,3.434,1.78,1.185,1.859,1.233,0.037,0.898,2.454,2.285,2.803,0.934,3.238,3.636,0.886,1.635,1.907,1.834,1.72,1.501,0.826,1.038,0.332,1.69,0.743,1.749,1.704,1.376,1.429,2.201,1.142,2.367,1.136,1.781,1.189,1.2,2.348,1.568,1.838,1.616,3.124,3.484,1.863,2,1.837,2.133,1.7,1.456,0.847,1.902,2.245,1.883,1.501,1.545,1.899,1.153,1.134,0.996,3.558,1.082,1.883,1.34,1.974,1.744,2.358,2.195,1.929,2.173,2.424,1.749,2.021,3.713,3.608,1.525,1.464,1.859,1.363,3.593,1.428,2.49,3.465,0.814,2.259,3.924,1.408,0.193,0.703,1.884,2.123,3.45,0.345
