,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,33.56496,130.41618,11.2,,,,,0.0,0.19,0.348,0.505,0.671,0.821,0.994,1.199,1.317,1.354,1.023,0.959,0.602,0.518,0.863,0.959,1.06,0.393,0.281,0.185,0.338
1,33.56353,130.41511,11.2,27.0,98.0,123.0,5.0,0.19,0.0,0.18,0.337,0.503,0.653,0.825,1.03,1.127,1.164,0.833,0.769,0.411,0.39,0.781,0.81,1.008,0.524,0.412,0.304,0.294
2,33.56232,130.41416,11.5,23.0,42.0,121.0,5.0,0.348,0.18,0.0,0.157,0.323,0.473,0.646,0.851,0.969,1.079,0.782,0.677,0.361,0.339,0.73,0.759,0.957,0.586,0.391,0.412,0.377
3,33.5611,130.41331,12.8,18.0,69.0,96.0,5.0,0.505,0.337,0.157,0.0,0.166,0.316,0.489,0.694,0.824,0.934,0.795,0.532,0.39,0.452,0.797,0.81,1.005,0.744,0.549,0.569,0.494
4,33.55981,130.41241,14.5,8.0,19.0,112.0,5.0,0.671,0.503,0.323,0.166,0.0,0.15,0.323,0.528,0.712,0.936,0.797,0.534,0.556,0.618,0.963,0.976,1.171,0.91,0.715,0.735,0.66
5,33.5586,130.41168,14.1,25.0,62.0,77.0,5.0,0.821,0.653,0.473,0.316,0.15,0.0,0.172,0.377,0.562,0.808,0.679,0.617,0.706,0.768,1.113,0.93,1.147,1.061,0.866,0.886,0.81
6,33.55727,130.41073,13.9,28.0,73.0,123.0,5.0,0.994,0.825,0.646,0.489,0.323,0.172,0.0,0.205,0.389,0.657,0.654,0.675,0.878,0.94,1.149,0.905,1.122,1.233,1.038,1.058,0.982
7,33.55631,130.40893,16.9,7.0,78.0,99.0,5.0,1.199,1.03,0.851,0.694,0.528,0.377,0.205,0.0,0.256,0.524,0.576,0.66,1.041,1.103,1.134,0.89,1.107,1.435,1.24,1.263,1.187
8,33.55781,130.40794,27.1,14.0,84.0,112.0,5.0,1.317,1.127,0.969,0.824,0.712,0.562,0.389,0.256,0.0,0.284,0.336,0.524,0.978,0.953,0.934,0.689,0.906,1.211,1.181,1.383,1.307
9,33.55849,130.40648,37.4,16.0,7.0,71.0,5.0,1.354,1.164,1.079,0.934,0.936,0.808,0.657,0.524,0.284,0.0,0.33,0.594,1.015,0.947,0.928,0.683,0.9,1.205,1.189,1.468,1.417
10,33.56021,130.4082,46.8,5.0,75.0,124.0,5.0,1.023,0.833,0.782,0.795,0.797,0.679,0.654,0.576,0.336,0.33,0.0,0.263,0.684,0.617,0.598,0.353,0.57,0.874,0.859,1.137,1.124
11,33.56085,130.41022,33.3,24.0,68.0,83.0,5.0,0.959,0.769,0.677,0.532,0.534,0.617,0.675,0.66,0.524,0.594,0.263,0.0,0.62,0.581,0.64,0.396,0.613,0.917,0.823,1.073,1.015
12,33.5621,130.41107,30.2,14.0,11.0,125.0,5.0,0.602,0.411,0.361,0.39,0.556,0.706,0.878,1.041,0.978,1.015,0.684,0.62,0.0,0.304,0.649,0.662,0.857,0.727,0.532,0.716,0.703
13,33.56382,130.41193,23.1,25.0,91.0,123.0,5.0,0.518,0.39,0.339,0.452,0.618,0.768,0.94,1.103,0.953,0.947,0.617,0.581,0.304,0.0,0.387,0.439,0.595,0.433,0.238,0.689,0.681
14,33.56486,130.40932,25.3,20.0,82.0,102.0,5.0,0.863,0.781,0.73,0.797,0.963,1.113,1.149,1.134,0.934,0.928,0.598,0.64,0.649,0.387,0.0,0.258,0.208,0.491,0.582,1.034,1.072
15,33.56289,130.4088,43.6,26.0,99.0,122.0,5.0,0.959,0.81,0.759,0.81,0.976,0.93,0.905,0.89,0.689,0.683,0.353,0.396,0.662,0.439,0.258,0.0,0.218,0.593,0.681,1.133,1.124
16,33.56428,130.40803,38.1,18.0,96.0,138.0,5.0,1.06,1.008,0.957,1.005,1.171,1.147,1.122,1.107,0.906,0.9,0.57,0.613,0.857,0.595,0.208,0.218,0.0,0.688,0.779,1.231,1.329
17,33.56639,130.41305,12.0,22.0,96.0,131.0,5.0,0.393,0.524,0.586,0.744,0.91,1.061,1.233,1.435,1.211,1.205,0.874,0.917,0.727,0.433,0.491,0.593,0.688,0.0,0.216,0.564,0.662
18,33.56511,130.41374,14.5,28.0,16.0,31.0,5.0,0.281,0.412,0.391,0.549,0.715,0.866,1.038,1.24,1.181,1.189,0.859,0.823,0.532,0.238,0.582,0.681,0.779,0.216,0.0,0.452,0.55
19,33.56378,130.41751,11.5,9.0,86.0,119.0,5.0,0.185,0.304,0.412,0.569,0.735,0.886,1.058,1.263,1.383,1.468,1.137,1.073,0.716,0.689,1.034,1.133,1.231,0.564,0.452,0.0,0.152
20,33.5626,130.41747,12.1,7.0,34.0,135.0,5.0,0.338,0.294,0.377,0.494,0.66,0.81,0.982,1.187,1.307,1.417,1.124,1.015,0.703,0.681,1.072,1.124,1.329,0.662,0.55,0.152,0.0
