,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,40.40854,-3.69236,624.5,,,,,0.0,0.336,0.629,0.934,1.126,0.826,0.558,0.692,0.355,0.505,0.364,0.712,0.874,1.087,1.096,1.359,1.339,1.19,1.016,0.795,0.702
1,40.40707,-3.69547,621.2,14.0,11.0,90.0,5.0,0.336,0.0,0.293,0.598,0.798,0.498,0.23,0.477,0.324,0.538,0.676,0.681,0.782,0.759,0.768,1.031,1.011,0.982,0.928,0.823,0.827
2,40.40591,-3.69859,617.0,56.0,14.0,42.0,5.0,0.629,0.293,0.0,0.305,0.593,0.356,0.387,0.516,0.521,0.735,0.856,0.79,0.642,0.619,0.599,0.829,0.851,0.842,0.788,0.881,1.024
3,40.40524,-3.70208,612.8,38.0,32.0,80.0,5.0,0.934,0.598,0.305,0.0,0.287,0.432,0.65,0.695,0.825,0.965,1.16,0.883,0.718,0.695,0.584,0.522,0.709,0.918,0.864,0.957,1.125
4,40.40721,-3.7038,620.8,22.0,8.0,85.0,5.0,1.126,0.798,0.593,0.287,0.0,0.3,0.568,0.563,0.875,0.83,1.15,0.748,0.545,0.493,0.374,0.233,0.464,0.695,0.691,0.784,0.99
5,40.40832,-3.70081,621.5,12.0,54.0,111.0,5.0,0.826,0.498,0.356,0.432,0.3,0.0,0.268,0.263,0.575,0.53,0.85,0.448,0.284,0.261,0.27,0.533,0.513,0.484,0.43,0.534,0.69
6,40.40796,-3.69772,626.5,44.0,57.0,115.0,5.0,0.558,0.23,0.387,0.65,0.568,0.268,0.0,0.247,0.306,0.52,0.641,0.511,0.524,0.529,0.538,0.801,0.781,0.752,0.698,0.653,0.753
7,40.40945,-3.6986,637.8,42.0,45.0,91.0,5.0,0.692,0.477,0.516,0.695,0.563,0.263,0.247,0.0,0.337,0.356,0.587,0.273,0.436,0.45,0.455,0.703,0.697,0.673,0.586,0.415,0.516
8,40.40948,-3.69527,635.1,52.0,9.0,92.0,5.0,0.355,0.324,0.521,0.825,0.875,0.575,0.306,0.337,0.0,0.214,0.334,0.356,0.519,0.787,0.844,1.107,0.968,0.824,0.669,0.498,0.503
9,40.41055,-3.69647,645.6,54.0,20.0,110.0,5.0,0.505,0.538,0.735,0.965,0.83,0.53,0.52,0.356,0.214,0.0,0.318,0.268,0.431,0.681,0.737,0.985,0.88,0.736,0.581,0.41,0.378
10,40.41099,-3.69397,632.9,22.0,77.0,88.0,5.0,0.364,0.676,0.856,1.16,1.15,0.85,0.641,0.587,0.334,0.318,0.0,0.545,0.736,1.033,1.042,1.29,1.138,0.998,0.824,0.603,0.416
11,40.41125,-3.69867,652.1,24.0,86.0,133.0,5.0,0.712,0.681,0.79,0.883,0.748,0.448,0.511,0.273,0.356,0.268,0.545,0.0,0.223,0.507,0.644,0.855,0.612,0.468,0.313,0.142,0.401
12,40.41076,-3.70066,638.4,22.0,43.0,112.0,5.0,0.874,0.782,0.642,0.718,0.545,0.284,0.524,0.436,0.519,0.431,0.736,0.223,0.0,0.25,0.421,0.669,0.559,0.415,0.271,0.247,0.591
13,40.41027,-3.70249,636.0,20.0,46.0,58.0,5.0,1.087,0.759,0.619,0.695,0.493,0.261,0.529,0.45,0.787,0.681,1.033,0.507,0.25,0.0,0.225,0.479,0.322,0.224,0.284,0.508,0.888
14,40.40943,-3.70283,636.5,52.0,10.0,93.0,5.0,1.096,0.768,0.599,0.584,0.374,0.27,0.538,0.455,0.844,0.737,1.042,0.644,0.421,0.225,0.0,0.284,0.243,0.359,0.523,0.66,0.897
15,40.40894,-3.70481,639.2,24.0,80.0,138.0,5.0,1.359,1.031,0.829,0.522,0.233,0.533,0.801,0.703,1.107,0.985,1.29,0.855,0.669,0.479,0.284,0.0,0.243,0.474,0.638,0.869,1.142
16,40.41058,-3.70453,647.3,24.0,54.0,69.0,5.0,1.339,1.011,0.851,0.709,0.464,0.513,0.781,0.697,0.968,0.88,1.138,0.612,0.559,0.322,0.243,0.243,0.0,0.23,0.394,0.625,0.991
17,40.41172,-3.70363,647.0,54.0,14.0,105.0,5.0,1.19,0.982,0.842,0.918,0.695,0.484,0.752,0.673,0.824,0.736,0.998,0.468,0.415,0.224,0.359,0.474,0.23,0.0,0.174,0.405,0.771
18,40.41192,-3.70169,652.1,34.0,56.0,120.0,5.0,1.016,0.928,0.788,0.864,0.691,0.43,0.698,0.586,0.669,0.581,0.824,0.313,0.271,0.284,0.523,0.638,0.394,0.174,0.0,0.231,0.597
19,40.41231,-3.69955,652.1,48.0,55.0,112.0,5.0,0.795,0.823,0.881,0.957,0.784,0.534,0.653,0.415,0.498,0.41,0.603,0.142,0.247,0.508,0.66,0.869,0.625,0.405,0.231,0.0,0.376
20,40.41239,-3.69715,644.9,52.0,79.0,137.0,5.0,0.702,0.827,1.024,1.125,0.99,0.69,0.753,0.516,0.503,0.378,0.416,0.401,0.591,0.888,0.897,1.142,0.991,0.771,0.597,0.376,0.0
