,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,47.60571,-122.33872,5.0,,,,,0.0,0.216,0.324,0.346,0.216,0.314,0.524,0.598,0.413,0.586,0.487,0.394,0.39,0.292,0.196,0.119,0.57,0.672,0.86,0.961,0.93
1,47.60739,-122.3402,10.4,27.0,98.0,123.0,5.0,0.216,0.0,0.122,0.287,0.422,0.52,0.322,0.419,0.621,0.803,0.703,0.61,0.607,0.509,0.412,0.322,0.368,0.477,0.665,0.767,0.728
2,47.60784,-122.33913,28.6,23.0,42.0,121.0,5.0,0.324,0.122,0.0,0.162,0.322,0.42,0.197,0.294,0.521,0.703,0.606,0.517,0.508,0.414,0.318,0.224,0.259,0.363,0.549,0.65,0.621
3,47.60781,-122.33756,29.8,18.0,69.0,96.0,5.0,0.346,0.287,0.162,0.0,0.16,0.256,0.161,0.258,0.355,0.538,0.444,0.351,0.347,0.448,0.348,0.255,0.421,0.327,0.513,0.615,0.585
4,47.60658,-122.33647,26.5,8.0,19.0,112.0,5.0,0.216,0.422,0.322,0.16,0.0,0.098,0.321,0.418,0.197,0.38,0.286,0.191,0.186,0.287,0.191,0.092,0.581,0.487,0.673,0.775,0.745
5,47.60704,-122.33535,37.6,25.0,62.0,77.0,5.0,0.314,0.52,0.42,0.256,0.098,0.0,0.223,0.32,0.099,0.282,0.186,0.097,0.282,0.385,0.289,0.19,0.678,0.577,0.575,0.677,0.647
6,47.60878,-122.33692,38.0,28.0,73.0,123.0,5.0,0.524,0.322,0.197,0.161,0.321,0.223,0.0,0.097,0.324,0.506,0.409,0.32,0.507,0.609,0.513,0.419,0.455,0.353,0.355,0.454,0.424
7,47.60918,-122.33576,41.1,7.0,78.0,99.0,5.0,0.598,0.419,0.294,0.258,0.418,0.32,0.097,0.0,0.221,0.404,0.506,0.417,0.604,0.706,0.61,0.516,0.552,0.45,0.264,0.357,0.327
8,47.60751,-122.33421,49.1,14.0,84.0,112.0,5.0,0.413,0.621,0.521,0.355,0.197,0.099,0.324,0.221,0.0,0.183,0.283,0.189,0.381,0.484,0.388,0.29,0.78,0.678,0.485,0.581,0.551
9,47.60609,-122.3329,47.4,16.0,7.0,71.0,5.0,0.586,0.803,0.703,0.538,0.38,0.282,0.506,0.404,0.183,0.0,0.098,0.19,0.196,0.295,0.383,0.473,0.963,0.861,0.668,0.764,0.734
10,47.60564,-122.33398,34.6,5.0,75.0,124.0,5.0,0.487,0.703,0.606,0.444,0.286,0.186,0.409,0.506,0.283,0.098,0.0,0.089,0.099,0.197,0.286,0.379,0.865,0.764,0.762,0.864,0.833
11,47.6063,-122.33466,37.5,24.0,68.0,83.0,5.0,0.394,0.61,0.517,0.351,0.191,0.097,0.32,0.417,0.189,0.19,0.089,0.0,0.188,0.294,0.193,0.29,0.775,0.674,0.673,0.774,0.744
12,47.60513,-122.33511,23.9,14.0,11.0,125.0,5.0,0.39,0.607,0.508,0.347,0.186,0.282,0.507,0.604,0.381,0.196,0.099,0.188,0.0,0.098,0.188,0.288,0.768,0.674,0.864,0.962,0.931
13,47.60466,-122.33625,10.7,25.0,91.0,123.0,5.0,0.292,0.509,0.414,0.448,0.287,0.385,0.609,0.706,0.484,0.295,0.197,0.294,0.098,0.0,0.096,0.19,0.673,0.775,0.963,1.064,1.033
14,47.60541,-122.33685,13.7,20.0,82.0,102.0,5.0,0.196,0.412,0.318,0.348,0.191,0.289,0.513,0.61,0.388,0.383,0.286,0.193,0.188,0.096,0.0,0.094,0.577,0.679,0.867,0.968,0.937
15,47.60615,-122.33752,17.2,26.0,99.0,122.0,5.0,0.119,0.322,0.224,0.255,0.092,0.19,0.419,0.516,0.29,0.473,0.379,0.29,0.288,0.19,0.094,0.0,0.483,0.582,0.773,0.874,0.843
16,47.60982,-122.34095,42.6,18.0,96.0,138.0,5.0,0.57,0.368,0.259,0.421,0.581,0.678,0.455,0.552,0.78,0.963,0.865,0.775,0.768,0.673,0.577,0.483,0.0,0.102,0.29,0.391,0.621
17,47.61033,-122.33981,43.1,22.0,96.0,131.0,5.0,0.672,0.477,0.363,0.327,0.487,0.577,0.353,0.45,0.678,0.861,0.764,0.674,0.674,0.775,0.679,0.582,0.102,0.0,0.188,0.289,0.519
18,47.61119,-122.33765,38.2,28.0,16.0,31.0,5.0,0.86,0.665,0.549,0.513,0.673,0.575,0.355,0.264,0.485,0.668,0.762,0.673,0.864,0.963,0.867,0.773,0.29,0.188,0.0,0.101,0.331
19,47.61167,-122.33649,36.7,9.0,86.0,119.0,5.0,0.961,0.767,0.65,0.615,0.775,0.677,0.454,0.357,0.581,0.764,0.864,0.774,0.962,1.064,0.968,0.874,0.391,0.289,0.101,0.0,0.229
20,47.61112,-122.33451,39.8,7.0,34.0,135.0,5.0,0.93,0.728,0.621,0.585,0.745,0.647,0.424,0.327,0.551,0.734,0.833,0.744,0.931,1.033,0.937,0.843,0.621,0.519,0.331,0.229,0.0
