,x,y,elevation,demand,tw a,tw b,s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-33.88276,151.20841,18.3,,,,,0.0,0.11,0.188,0.304,0.426,0.523,0.652,0.127,0.273,0.308,0.405,0.488,0.594,0.694,0.838,0.725,0.567,0.426,0.319,0.46,0.277
1,-33.88372,151.20815,22.9,14.0,11.0,90.0,5.0,0.11,0.0,0.201,0.318,0.44,0.537,0.666,0.286,0.287,0.393,0.479,0.561,0.667,0.768,0.911,0.798,0.646,0.585,0.478,0.565,0.454
2,-33.88383,151.20944,22.5,56.0,14.0,42.0,5.0,0.188,0.201,0.0,0.117,0.238,0.335,0.465,0.301,0.171,0.226,0.278,0.36,0.466,0.567,0.71,0.597,0.445,0.402,0.352,0.46,0.465
3,-33.88432,151.21056,25.6,38.0,32.0,80.0,5.0,0.304,0.318,0.117,0.0,0.121,0.219,0.348,0.418,0.288,0.289,0.203,0.253,0.359,0.46,0.603,0.49,0.481,0.438,0.457,0.565,0.581
4,-33.88475,151.21176,34.7,22.0,8.0,85.0,5.0,0.426,0.44,0.238,0.121,0.0,0.097,0.227,0.54,0.409,0.411,0.312,0.236,0.293,0.399,0.542,0.425,0.466,0.559,0.579,0.687,0.703
5,-33.88493,151.21279,46.9,12.0,54.0,111.0,5.0,0.523,0.537,0.335,0.219,0.097,0.0,0.129,0.637,0.506,0.455,0.358,0.275,0.207,0.301,0.444,0.339,0.449,0.569,0.623,0.731,0.8
6,-33.885,151.21403,51.9,44.0,57.0,115.0,5.0,0.652,0.666,0.465,0.348,0.227,0.129,0.0,0.733,0.636,0.552,0.455,0.372,0.266,0.172,0.314,0.418,0.529,0.649,0.72,0.828,0.901
7,-33.88171,151.20869,15.3,42.0,45.0,91.0,5.0,0.127,0.286,0.301,0.418,0.54,0.637,0.733,0.0,0.166,0.181,0.278,0.361,0.467,0.567,0.711,0.598,0.436,0.299,0.192,0.279,0.168
8,-33.88267,151.20961,21.4,52.0,9.0,92.0,5.0,0.273,0.287,0.171,0.288,0.409,0.506,0.636,0.166,0.0,0.121,0.218,0.3,0.406,0.507,0.65,0.537,0.38,0.303,0.196,0.304,0.334
9,-33.88246,151.21043,24.1,54.0,20.0,110.0,5.0,0.308,0.393,0.226,0.289,0.411,0.455,0.552,0.181,0.121,0.0,0.097,0.18,0.286,0.386,0.53,0.417,0.259,0.216,0.168,0.276,0.349
10,-33.88291,151.21133,29.8,22.0,77.0,88.0,5.0,0.405,0.479,0.278,0.203,0.312,0.358,0.455,0.278,0.218,0.097,0.0,0.083,0.189,0.289,0.433,0.32,0.29,0.247,0.265,0.373,0.446
11,-33.88309,151.21219,34.8,24.0,86.0,133.0,5.0,0.488,0.561,0.36,0.253,0.236,0.275,0.372,0.361,0.3,0.18,0.083,0.0,0.106,0.207,0.35,0.237,0.259,0.329,0.348,0.456,0.529
12,-33.8833,151.21331,44.3,22.0,43.0,112.0,5.0,0.594,0.667,0.466,0.359,0.293,0.207,0.266,0.467,0.406,0.286,0.189,0.106,0.0,0.101,0.244,0.169,0.28,0.4,0.454,0.562,0.635
13,-33.88348,151.21438,52.7,20.0,46.0,58.0,5.0,0.694,0.768,0.567,0.46,0.399,0.301,0.172,0.567,0.507,0.386,0.289,0.207,0.101,0.0,0.142,0.27,0.381,0.501,0.555,0.663,0.735
14,-33.88221,151.21457,51.2,52.0,10.0,93.0,5.0,0.838,0.911,0.71,0.603,0.542,0.444,0.314,0.711,0.65,0.53,0.433,0.35,0.244,0.142,0.0,0.236,0.345,0.399,0.515,0.598,0.712
15,-33.882,151.21344,40.9,24.0,80.0,138.0,5.0,0.725,0.798,0.597,0.49,0.425,0.339,0.418,0.598,0.537,0.417,0.32,0.237,0.169,0.27,0.236,0.0,0.207,0.261,0.377,0.493,0.574
16,-33.88175,151.21223,29.4,24.0,54.0,69.0,5.0,0.567,0.646,0.445,0.481,0.466,0.449,0.529,0.436,0.38,0.259,0.29,0.259,0.28,0.381,0.345,0.207,0.0,0.144,0.26,0.351,0.457
17,-33.88134,151.21127,23.0,54.0,14.0,105.0,5.0,0.426,0.585,0.402,0.438,0.559,0.569,0.649,0.299,0.303,0.216,0.247,0.329,0.4,0.501,0.399,0.261,0.144,0.0,0.123,0.214,0.32
18,-33.8812,151.21013,17.1,34.0,56.0,120.0,5.0,0.319,0.478,0.352,0.457,0.579,0.623,0.72,0.192,0.196,0.168,0.265,0.348,0.454,0.555,0.515,0.377,0.26,0.123,0.0,0.108,0.213
19,-33.88025,151.21022,23.6,48.0,55.0,112.0,5.0,0.46,0.565,0.46,0.565,0.687,0.731,0.828,0.279,0.304,0.276,0.373,0.456,0.562,0.663,0.598,0.493,0.351,0.214,0.108,0.0,0.149
20,-33.88031,151.20884,14.3,52.0,79.0,137.0,5.0,0.277,0.454,0.465,0.581,0.703,0.8,0.901,0.168,0.334,0.349,0.446,0.529,0.635,0.735,0.712,0.574,0.457,0.32,0.213,0.149,0.0
